Pk,Tm,Player,College,Player_Link,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
49,CLE,Tyrese Proctor,Duke,https://www.basketball-reference.com/players/p/proctty01.html,.421,.365,.768,29.9,10.8,3.0,3.0
50,NYK,Kobe Sanders,Nevada,https://www.basketball-reference.com/players/s/sandeko01.html,.427,.329,.794,27.7,11.5,3.1,2.8
51,LAC,Mohamed Diawara,,https://www.basketball-reference.com/players/d/diawamo01.html,,,,,,,
52,PHO,Alex Toohey,,https://www.basketball-reference.com/players/t/tooheal01.html,,,,,,,
53,UTA,John Tonje,Wisconsin,https://www.basketball-reference.com/players/t/tonjejo01.html,.457,.378,.858,23.0,10.8,3.4,1.0
54,IND,Taelon Peter,Liberty,https://www.basketball-reference.com/players/p/peterta01.html,.564,.439,.773,20.6,11.9,3.5,1.0
55,LAL,Lachlan Olbrich,,https://www.basketball-reference.com/players/o/olbrila01.html,.479,.292,.556,27.9,11.4,6.1,1.4
56,MEM,Will Richard,Florida,https://www.basketball-reference.com/players/r/richawi02.html,.463,.355,.825,29.3,11.9,4.7,1.5
57,ORL,Max Shulga,VCU,https://www.basketball-reference.com/players/s/shulgma01.html,.439,.392,.821,25.0,10.1,4.0,2.8
58,CLE,Saliou Niang,,https://www.basketball-reference.com/players/n/niangsa01.html,,,,,,,
59,HOU,Jahmai Mashack,Tennessee,https://www.basketball-reference.com/players/m/mashaja01.html,.440,.343,.668,18.2,4.2,2.8,1.2
